"","GEOID","county_ID","coastal","total_population","hhs_total","median_hh_income","pct_hisp","pct_less_HS","pct_health_coverage","pct_unemployed"
"3858","48201550202","48201",1,1998,840,27790,48.949,28.406,55.537,0
"3859","48201550303","48201",1,4069,1792,39587,31.482,13.912,67.504,4.881
"3860","48201550304","48201",1,1909,876,35348,7.386,12.181,60.986,8.481
"3861","48201550305","48201",1,3372,1196,104628,50.119,10.364,43.2,6.629
"3862","48201550306","48201",1,4352,1199,66940,31.733,6.89,78.102,5.984
"3863","48201550307","48201",1,2947,1326,35452,18.867,7.114,48.329,5.009
"3864","48201550308","48201",1,3316,1343,37361,35.917,24.351,62.176,18.238
"3865","48201550403","48201",1,3835,1374,22835,45.58,40.981,16.541,13.001
"3866","48201550404","48201",1,6646,1909,78837,30.003,7.361,76.899,13.339
"3867","48201550405","48201",1,8482,2524,47586,41.111,26.878,42.603,10.999
"3868","48201550406","48201",1,3879,1424,40559,39.082,12.753,39.558,6.216
"3869","48201550407","48201",1,5129,1556,76445,22.266,15.259,91.452,3.495
"3870","48201550500","48201",1,7011,1977,57361,50.464,21.604,40.086,4.858
"3871","48201550601","48201",1,7513,2144,68680,59.803,25.869,60.509,4.386
"3872","48201550602","48201",1,2711,735,68375,61.084,30.834,61.784,4.582
"3873","48201550603","48201",1,5475,1529,64336,75.379,46.68,49.708,1.164
"3874","48201550700","48201",1,5048,1418,91196,63.451,26.321,74.688,4.569
"3875","48201550800","48201",1,3679,973,66295,43.599,23.524,50.188,9.877
"3876","48201550901","48201",1,5986,1597,48467,61.861,35.066,63.079,14.031
"3877","48201550902","48201",1,4104,1209,68021,42.788,15.54,69.127,5.979
"3878","48201551000","48201",1,3652,1098,50000,61.774,34.086,28.297,6.371
"3879","48201551101","48201",1,4202,1767,45969,39.362,12.397,35.144,11.391
"3880","48201551102","48201",1,6574,1788,70673,62.276,30.699,45.324,5.058
"3881","48201551201","48201",1,4990,1648,62353,41.844,14.814,66.891,5.34
"3882","48201551202","48201",1,3697,1251,82563,48.391,22.217,48.407,7.6
"3883","48201551300","48201",1,3945,1145,128060,26.058,13.103,79.564,4.104
"3884","48201551400","48201",1,6138,2243,85130,33.757,13.303,60,4.058
"3885","48201551501","48201",1,3296,1321,56993,49.181,15.559,49.299,12.307
"3886","48201551502","48201",1,4937,1333,61157,25.4,6.852,87.938,15.491
"3887","48201551601","48201",1,3246,1004,70500,47.443,8.136,75.403,10.714
"3888","48201551602","48201",1,5455,1656,50806,51.164,26.989,44.891,12.045
"3889","48201551702","48201",1,4360,1477,134075,19.266,1.663,97.633,6.041
"3890","48201551703","48201",1,8558,3155,89219,37.544,14.125,80.219,4.126
"3891","48201551704","48201",1,3746,1345,133583,23.999,10.263,88.449,5.068
"3892","48201551705","48201",1,5635,1800,102895,33.026,11.879,68.323,3.513
"3893","48201551800","48201",1,3769,1529,104427,18.466,4.068,90.176,3.161
"3894","48201551901","48201",1,2521,1221,49693,31.614,7.401,45.587,0
"3895","48201551902","48201",1,4731,2179,54042,29.951,10.256,63.412,7.213
"3896","48201552002","48201",1,1338,585,72546,26.158,13.24,71.081,8.358
"3897","48201552003","48201",1,4679,1807,106758,30.626,3.606,46.017,6.838
"3898","48201552004","48201",1,3441,1732,75343,30.282,7.322,55.461,4.419
"3899","48201552101","48201",1,4457,1741,84530,45.501,13.298,60.802,7.047
"3900","48201552102","48201",1,5676,2316,68667,22.78,16.12,64.366,3.354
"3901","48201552103","48201",1,3617,1251,72383,28.891,7.969,76.052,15.839
"3902","48201552200","48201",1,8189,2921,88432,39.394,17.111,85.297,8.099
"3903","48201552301","48201",1,4402,1619,77670,22.831,5.775,77.186,5.147
"3904","48201552303","48201",1,2549,1364,55855,16.438,6.741,76.351,9.249
"3905","48201552304","48201",1,2029,731,93750,14.736,4.664,88.509,8.209
"3906","48201552401","48201",1,5560,2057,55273,44.496,18.774,81.837,4.76
"3907","48201552402","48201",1,2765,945,117557,33.816,14.396,61.007,20.461
"3908","48201552501","48201",1,5407,1679,50040,62.068,22.782,48.438,14.393
"3909","48201552502","48201",1,6528,2073,72679,35.769,13.422,82.021,3.607
"3910","48201552602","48201",1,7162,2846,75078,22.047,8.56,81.768,9.186
"3911","48201552603","48201",1,5096,1696,42329,25.922,12.618,78.241,8.603
"3912","48201552604","48201",1,3571,1133,70598,42.285,23.69,67.3,7.174
"3913","48201552701","48201",1,3226,1680,59324,23.652,8.747,77.023,4.042
"3914","48201552702","48201",1,5367,2278,54629,35.01,5.568,59.216,11.996
"3915","48201552801","48201",1,4975,2333,79208,9.608,1.557,80.436,5.842
"3916","48201552802","48201",1,4215,1575,88799,10.581,4.261,81.08,7.524
"3917","48201552901","48201",1,4678,2380,53724,27.02,3.54,51.061,4.568
"3918","48201552902","48201",1,5613,1651,125865,31.071,6.82,67.588,16.566
"3919","48201553001","48201",1,5771,2137,83373,31.034,9.811,76.237,7.236
"3920","48201553002","48201",1,4712,1582,96371,46.477,19.427,57.482,6.29
"3921","48201553101","48201",1,3560,1406,82400,22.079,3.173,74.453,0
"3922","48201553102","48201",1,4669,1425,79486,24.331,2.479,62.688,5.397
"3923","48201553201","48201",1,2700,990,69863,53.741,18.437,56.795,1.554
"3924","48201553202","48201",1,4174,1896,42065,27.599,8.541,76.039,11.923
"3925","48201553300","48201",1,3857,2156,39486,12.756,9.108,56.057,0.914
"3926","48201553401","48201",1,3971,1390,113768,12.239,6.79,83.888,6.648
"3927","48201553403","48201",1,8636,2693,76360,24.317,8.243,73.161,5.563
"3928","48201553404","48201",1,3671,1094,139274,16.644,5.828,88.15,4.911
"3929","48201553405","48201",1,6641,2214,109329,26.035,5.758,70.152,7.862
"3930","48201553500","48201",1,6892,2472,87872,27.554,6.827,77.539,5.85
"3931","48201553601","48201",1,5080,1728,121136,22.126,2.851,93.805,5.347
"3932","48201553602","48201",1,2332,1143,52864,23.285,3.696,38.942,2.334
"3933","48201553700","48201",1,4415,1650,69637,17.441,8.586,80.678,4.487
"3934","48201553801","48201",1,2523,859,138958,21.165,7.104,88.065,4.12
"3935","48201553803","48201",1,4515,1425,144414,31.008,3.118,81.267,5.712
"3936","48201553804","48201",1,5732,1948,76667,42.027,10.061,75.824,8.109
"3937","48201553901","48201",1,6332,1869,154155,30.78,0.87,84.947,6.616
"3938","48201554001","48201",1,3445,1208,69384,20.552,4.14,59.5,3.942
"3939","48201554002","48201",1,4159,1496,173333,21.207,2.316,94.779,4.75
"3940","48201554103","48201",1,5329,1740,112405,27.022,8.239,77.692,11.216
"3941","48201554104","48201",1,4189,1359,109044,27.047,3.652,77.337,17.052
"3942","48201554201","48201",1,6812,2760,79500,34.733,6.21,76.434,1.775
"3943","48201554202","48201",1,3543,1312,82643,48.744,7.671,82.485,1.607
"3944","48201554301","48201",1,7742,2664,132222,10.32,2.047,75.186,9.002
"3945","48201554302","48201",1,4286,1382,108500,23.332,7.933,85.031,5.953
"3946","48201554404","48201",1,4658,1609,161705,14.899,3.844,89.8,2.702
"3947","48201554405","48201",1,8856,2793,131192,23.611,5.777,83.054,4.134
"3948","48201554406","48201",1,4780,1546,133802,29.414,5.778,96.373,4.843
"3949","48201554407","48201",1,5934,2067,114558,24.671,7.275,89.621,1.064
"3950","48201554408","48201",1,9967,3029,111655,26.227,6.686,89.332,7.95
"3951","48201554409","48201",1,7167,2392,141761,12.572,1.504,82.22,5.691
"3952","48201554410","48201",1,3597,1331,142737,10.648,5.988,82.921,10.757
"3953","48201554501","48201",1,6010,2155,149807,21.464,3.932,81.981,2.85
"3954","48201554502","48201",1,5865,2145,147641,18.892,1.003,96.338,4.41
"3955","48201554600","48201",1,4639,1603,141995,16.318,5.397,91.685,7.442
