"","GEOID","county_ID","coastal","total_population","hhs_total","median_hh_income","pct_hisp","pct_less_HS","pct_health_coverage","pct_unemployed"
"1","48113014132","48113",0,2358,1060,75389,12.68,7.051,98.987,12.648
"2","48113014133","48113",0,4224,2035,41650,17.945,9.05,90.766,10.021
"3","48113014134","48113",0,3919,1287,129973,6.201,4.319,96.936,3.231
"4","48113014135","48113",0,4466,1674,81513,14.51,3.556,97.118,1.957
"5","48113014136","48113",0,5551,2838,57500,9.314,5.098,88.559,5.111
"6","48113014137","48113",0,3122,1667,72623,10.474,1.052,97.047,5.678
"7","48113014138","48113",0,3422,1732,78571,6.604,0.302,100,3.233
"8","48113014205","48113",0,1493,631,140063,6.028,1.218,93.333,2.761
"9","48085031004","48085",0,5431,1919,53880,20.512,18.448,89.202,7.672
"10","48085031201","48085",0,5140,1730,72585,15.058,11.165,94.79,6.774
"11","48085031202","48085",0,3964,1362,70613,14.985,8.042,93.107,0.918
"12","48085031308","48085",0,6198,1916,91786,12.569,8.278,93.728,6.171
"13","48085031309","48085",0,9484,3251,71274,14.256,7.283,91.288,4.894
"14","48085031310","48085",0,9131,3122,73625,13.679,4.531,95.35,8.944
"15","48085031312","48085",0,6260,2197,123295,6.086,1.486,95.294,8.842
"16","48085031313","48085",0,12067,3386,131908,7.889,4.059,97.709,4.221
"17","48085031314","48085",0,2133,672,114000,4.923,2.458,92.791,8.292
"18","48085031315","48085",0,16519,5006,85553,15.176,6.962,92.914,5.079
"19","48085031311","48085",0,9072,3422,89517,13.051,5.243,96.138,3.633
"20","48085031316","48085",0,6384,1784,128534,10.793,7.464,97.1,1.666
"21","48085031317","48085",0,7774,2427,99141,9.815,4.266,98.585,6.371
"22","48085031405","48085",0,17014,5292,155496,5.46,2.765,97.546,4.632
"23","48085031406","48085",0,16580,5087,111038,10.862,3.779,94.738,4.231
"24","48085031407","48085",0,7875,2863,107426,5.384,1.326,94.815,7.113
"25","48309004000","48309",0,4856,1725,75417,4.736,4.754,91.157,2.924
"26","48029141101","48029",0,4313,1582,22443,73.058,42.678,92.784,8.693
"27","48029141102","48029",0,3511,1244,26309,74.309,40.763,83.964,17.031
"28","48029141403","48029",0,3556,1278,44809,78.15,17.138,85.435,2.038
"29","48029141404","48029",0,4901,1613,43309,68.721,23.362,89.009,12.494
"30","48029151301","48029",0,6022,1680,35385,94.42,40.871,90.869,11.227
"31","48029151302","48029",0,3331,888,44274,93.576,37.235,83.447,15.144
"32","48029152201","48029",0,8627,2150,54148,75.484,29.207,90.331,12.118
"33","48029152202","48029",0,4386,1106,55833,74.989,28.243,92.165,9.48
"34","48029160501","48029",0,4301,1221,17809,92.49,45.551,74.883,22.479
"35","48029160901","48029",0,3162,820,40750,96.173,36.733,80.549,8.993
"36","48029160902","48029",0,4902,1293,29626,97.919,43.722,87.87,19.333
"37","48029161303","48029",0,5100,1104,35212,97.02,53.098,89.744,14.918
"38","48029161304","48029",0,4595,1120,31649,94.081,43.528,84.158,12.727
"39","48029161400","48029",0,8109,335,49034,17.758,3.82,100,0.86
"40","48029160502","48029",0,4486,1256,36300,98.15,44.361,83.794,16.263
"41","48029161504","48029",0,4191,1188,38056,79.194,24.139,86.526,12.474
