"","GEOID","NAME","coastal","median_hh_income","pct_hisp","pct_less_HS","pct_health_coverage","pct_unemployed"
"195","48389","Reeves County, Texas",0,57487,75.41,29.206,72.728,6.952
"196","48391","Refugio County, Texas",1,54304,51.697,16.16,69.55,5.6
"197","48393","Roberts County, Texas",0,62667,13.874,8.209,72.473,0.5
"198","48395","Robertson County, Texas",0,59410,22.168,14.72,74.975,8.669
"199","48397","Rockwall County, Texas",0,121303,19.448,5.656,85.661,3.872
"200","48399","Runnels County, Texas",0,55424,35.19,17.105,66.419,2.999
"201","48401","Rusk County, Texas",0,61661,17.873,15.847,72.03,5.539
"202","48403","Sabine County, Texas",0,47061,5.1,13.086,75.299,8.379
"203","48405","San Augustine County, Texas",0,45888,8.119,17.684,55.043,10.348
"204","48407","San Jacinto County, Texas",0,54839,14.99,14.44,61.888,7.085
"205","48409","San Patricio County, Texas",1,63842,58.667,17.704,67.071,4.336
"206","48411","San Saba County, Texas",0,54087,31.026,14.189,45.11,3.767
"207","48413","Schleicher County, Texas",0,53774,54.285,18.006,47.273,6.678
"208","48415","Scurry County, Texas",0,58932,42.066,15.567,67.635,2.248
"209","48417","Shackelford County, Texas",0,60924,12.572,6.471,74.159,7.231
"210","48419","Shelby County, Texas",0,49231,19.071,18.313,62.131,4.016
"211","48421","Sherman County, Texas",0,66169,42.833,27.929,76.028,1.527
"212","48423","Smith County, Texas",0,69053,20.378,12.405,64.894,4.707
"213","48425","Somervell County, Texas",0,87899,18.014,7.134,75.027,3.935
"214","48427","Starr County, Texas",0,35979,96.24,39.13,38.141,11.455
"215","48429","Stephens County, Texas",0,44712,25.108,16.724,63.108,8.624
"216","48431","Sterling County, Texas",0,63558,33.477,9.878,64.706,0
"217","48433","Stonewall County, Texas",0,66591,26.822,19.116,74.724,1.767
"218","48435","Sutton County, Texas",0,56778,74.619,20,67.072,4.73
"219","48437","Swisher County, Texas",0,40290,45.543,22.102,65.8,5.188
"220","48439","Tarrant County, Texas",0,78872,29.812,12.94,69.063,4.869
"221","48441","Taylor County, Texas",0,61806,25.531,10.011,67.373,2.229
"222","48443","Terrell County, Texas",0,52813,46.984,6.267,89.107,0
"223","48445","Terry County, Texas",0,42694,56.982,24.008,52.981,4.751
"224","48447","Throckmorton County, Texas",0,55221,12.926,9.774,37.074,2.523
"225","48449","Titus County, Texas",0,57634,44.973,22.411,59.887,4.022
"226","48451","Tom Green County, Texas",0,67215,41.784,13.354,74.417,3.002
"227","48453","Travis County, Texas",0,92731,33.325,9.177,77.87,4.175
"228","48455","Trinity County, Texas",0,51165,11.547,13.579,69.622,7.042
"229","48457","Tyler County, Texas",0,50898,7.164,17.416,72.043,12.602
"230","48459","Upshur County, Texas",0,60456,9.292,13.447,69.764,4.332
"231","48461","Upton County, Texas",0,55284,56.303,21.048,83.456,4.695
"232","48463","Uvalde County, Texas",0,55000,72.251,23.86,67.296,3.21
"233","48465","Val Verde County, Texas",0,57250,82.442,26.46,57.289,3.112
"234","48467","Van Zandt County, Texas",0,62334,12.389,13.969,65.944,3.085
"235","48469","Victoria County, Texas",1,66308,48.452,16.162,69.678,5.132
"236","48471","Walker County, Texas",0,47193,18.432,14.706,75.346,7.024
"237","48473","Waller County, Texas",0,71643,30.858,13.303,73.8,6.049
"238","48475","Ward County, Texas",0,70771,55.671,19.78,76.05,5.527
"239","48477","Washington County, Texas",0,70043,17.346,10.275,75.548,2.681
"240","48479","Webb County, Texas",0,59984,95.44,30.874,45.357,5.928
"241","48481","Wharton County, Texas",0,59712,42.995,18.713,67.337,5.672
"242","48483","Wheeler County, Texas",0,58158,25.502,14.195,51.639,6.574
"243","48485","Wichita County, Texas",0,58862,20.383,12.45,68.633,3.815
"244","48487","Wilbarger County, Texas",0,50769,30.363,21.556,73.392,9.293
"245","48489","Willacy County, Texas",1,42839,88.335,32.516,38.82,8.709
"246","48491","Williamson County, Texas",0,102851,25.041,5.893,81.766,4.341
"247","48493","Wilson County, Texas",0,89708,40.746,9.248,77.614,3.345
"248","48495","Winkler County, Texas",0,89155,62.622,27.529,71.227,2.284
"249","48497","Wise County, Texas",0,85385,20.395,12.98,69.558,4.309
"250","48499","Wood County, Texas",0,61748,10.785,13.906,66.501,5.282
"251","48501","Yoakum County, Texas",0,80317,67.929,31.506,70.875,3.917
"252","48503","Young County, Texas",0,65565,19.684,11.894,57.807,2.631
"253","48505","Zapata County, Texas",0,35061,94.682,34.416,48.208,8.05
"254","48507","Zavala County, Texas",0,49243,93.804,27.448,72.614,5.731
